WHENYEGSheSOth , @@@@@@@@@@@@@@
too , too
hot , hot
to , to
stay , stay
and , and
the , the
Prince , Prince
felt , felt
rather , rather
sore , sore
On , On
the , the
twentieth , twentieth
of , of
September , September
eighteen , eighteen
hundred , hundred
fiftyfour , fiftyfour
For , For
when , when
he , he
called , called
his , his
carriage , carriage
up , up
the , the
French , French
came , came
up , up
likewise , likewise
And , And
so , so
he , he
took , took
French , French
leave , leave
at , at
once , once
and , and
left , left
them , them
to , to
the , the
prize , prize
The , The
Chasseurs , Chasseurs
took , took
his , his
pocket , pocket
book , book
the , the
Zouaves , Zouaves
saekd , sackd
his , his
store , store
On , On
the , the
twentieth , twentieth
of , of
September , September
eighteen , eighteen
hundred , hundred
fiftyfour , fiftyfour
A , A
letter , letter
to , to
old , old
Nick , Nick
they , they
found , found
and , and
this , this
was , was
what , what
it , it
said , said
Tomeettheirbravestmen , Tomeettheirbravestmen
my , my
Liege , Liege
yoursoldiers , yoursoldiers
do , do
not , not
dread , dread
But , But
devils , devils
then , then
not , not
mortal , mortal
men , men
the , the
Russian , Russian
generals , generals
swore , swore
Drove , Drove
them , them
off , off
the , the
heights , heights
of , of
Alma , Alma
in , in
September , September
fiftyfour , fiftyfour
Heres , Heres
a , a
health , health
to , to
noble , noble
Raglan , Raglan
to , to
Campbell , Campbell
and , and
to , to
Brown , Brown
And , And
all , all
the , the
gallant , gallant
Frenchmen , Frenchmen
who , who
shared , shared
the , the
days , days
renown , renown
Whilst , Whilst
we , we
displayed , displayed
the , the
black , black
cockade , cockade
and , and
they , they
the , the
tricolour , tricolour
The , The
Russian , Russian
hue , hue
was , was
black , black
and , and
blue , blue
in , in
September , September
fiftyfour , fiftyfour
Then , Then
let , let
us , us
drink , drink
a , a
toast , toast
tonight , tonight
your , your
glasses , glasses
take , take
in , in
hand , hand
And , And
here , here
around , around
the , the
festive , festive
board , board
in , in
solemn , solemn
silence , silence
stand , stand
Before , Before
we , we
part , part
let , let
each , each
true , true
heart , heart
drink , drink
once , once
to , to
those , those
no , no
more , more
Who , Who
fought , fought
their , their
fight , fight
on , on
Almas , Almas
height , height
in , in
September , September
fiftyfour , fiftyfour
SHE , SHE
When , When
ye , ye
gang , gang
awa , awa
Jamie , Jamie
Far , Far
across , across
the , the
sea , sea
laddie , laddie
When , When
ye , ye
gang , gang
tae , tae
Germanie , Germanie
WTiat , W@hat
will , will
ye , ye
send , send
tae , tae
me , me
laddie , laddie
he , HE
I , I
sen , sen
ye , ye
a , a
braw , braw
new , new
gown , gown
Jeanie , Jeanie
@ , I
sen , sen
ye , ye
a , a
braw , braw
new , new
gowD , gown
lassie , lassie
An , An
it , it
shall , shall
be , be
o , o
silk , silk
an , an
gowd , gowd
Wi , Wi
Valenciennes , Valenciennes
set , set
round , round
lassie , lassie
sheThats , SHEThats
nae , nae
gift , gift
ava , ava
Jamie , Jamie
Thats , Thats
nae , nae
gift , gift
ava , ava
laddie , laddie
Theres , Theres
nae , nae
a , a
gown , gown
in , in
a , a
the , the
land , land
Id , Id
like , like
when , when
yere , yere
awa , awa
Jamie , Jamie
he , @H
When , When
I , I
come , come
back , back
again , again
Jeanie , Jeanie
When , When
I , I
come , come
back , back
again , again
lassie , lassie
Ill , Ill
bring , bring
wi , wi
me , me
a , a
gallant , gallant
gay , gay
To , To
be , be
your , your
ain , ain
gudeman , gudeman
lassie , lassie
sheBe , SHEBe
my , my
gudeman , gudeman
yoursel , yoursel
Jamie , Jamie
Be , Be
my , my
gudeman , gudeman
yoursel , yoursel
laddie , laddie
An , An
tak , tak
me , me
owre , owre
to , to
Germanie , Germanie
Wi , Wi
you , you
at , at
hame , hame
to , to
dwell , dwell
laddie , laddie
he , HE
I , I
dinna , dinna
ken , ken
heo , hoo
that , that
would , would
dae , dae
Jeanie , Jeanie
I , I
dinna , dinna
ken , ken
hoo , hoo
that , that
would , would
dae , dae
lassie , lassie
For , For
Ive , Ive
a , a
wife , wife
and , and
bailnies , bai@nies
threej , three@
And , And
Im , Im
no , no
sure , sure
how , how
yed , yed
gree , gree
lassie , lassie
sheAou , @@SEou
should , should
hae , hae
telt , telt
me , me
that , that
in , in
tune , time
Jamie , Jamie
You , You
should , should
hae , hae
telt , telt
me , me
that , that
in , in
time , time
laddie , laddie
For , For
had , had
I , I
kent , kent
o , o
your , your
fause , fause
heart , heart
You , You
neer , neer
had , had
gotten , gotten
mine , mine
laddie , laddie
he , HE
Your , Your
een , een
were , were
like , like
a , a
spell , spell
Jeanie , Jeanie
Your , Your
een , een
were , were
like , like
a , a
spell , spell
lassie , lassie
That , That
ilka , ilka
day , day
bewitched , bewitched
me , me
sae , sae
I , I
couldna , couldna
help , help
mysel , mysel
lassie , lassie
sheGae , SHEGae
back , back
to , to
your , your
wife , wife
an , an
hame , hame
Jamie , Jamie
Gae , Gae
back , back
to , to
your , your
bairnies , bairnies
three , three
laddie , laddie
And , And
I , I
will , will
pray , pray
they , they
neer , neer
may , may
thole , thole
A , A
broken , broken
heart , heart
like , like
mine , mine
laddie , laddie
he , HE
Dry , Dry
that , that
tearfu , tearfu
ee , ee
Jeanie , Jeanie
My , My
storys , storys
a , a
a , a
lee , lee
lassie , lassie
Ive , Ive
neither , neither
wife , wife
nor , nor
bai@mies , bairnies
three , three
And , And
Ill , Ill
wed , wed
nane , nane
but , but
thee , thee
lassie , lassie
SHEThink , SHEThink
weel , weel
before , before
you , you
rue , rue
Jamie , Jamie
Think , Think
wel , wel
before , before
you , you
rue , rue
laddie , laddie
For , For
Ive , Ive
neither , neither
gowd , gowd
nor , nor
lands , lands
To , To
be , be
a , a
match , match
for , for
you , you
laddie , laddie
he , HE
Blair , Blair
in , in
Athols , Athols
mine , mine
Jeanie , Jeanie
Little , Little
Dunkeld , Dunkeld
is , is
mine , mine
lassie , lassie
St , St
Johnstons , Johnstons
bower , bower
a@@@@@@@@@@@@@@@nd@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , andHuntingtowerAndathatsmineisthinelassieWHENYEGANGAWA
@@@I@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@l@@@@u@@@@@@@@@@@@@@@@@@@@@n@@@t@@@@@@@i@@@@@@@@@@@@@@@@@@@@@@@@@@@@@n@@@@@@@@@@@@@@@@@@g@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@t@@@@@@@@o@@@@@@@@w@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@er@@@@@@@@@@@@@@ , JAMIEThethofSEPTEMBERWemarchedalonguntilwecameupontheAlmasbanksWehaltedjustbeneaththeirlinestobreatheandcloseourranksAdvanceweheardandatthewordrightthrothebrookweboreOnthetwentiethofSeptembereighteenhundredfiftyfourWescrambledthroughtheclusteringgrapesthencamethebattlesbruntTheofficersallcheeredusonourcolourswavedinfrontTherefightingwellfullmanyfellalastorisenomoreOnthetwentiethofSeptembereighteenhundredfiftyfourTheFrenchtheyhadtherightthatdayand
@@An@d@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ , flankdtheRussianlineWhilestfullupontheirfronttheysawtheBritishbayonetsshineWith
@@a@@@@@@@@@@@@@@@@@ , heartycheerswestunnd
th@@@@@@@a@@@@@t@@@@@@@@s@@@@@@@@@@@@@@@@@@@@ , theirearsamidstthecannonsroarOnthetwentiethof
@@@@@m@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@i@@@@@@@@@@@@@@@@@@@@@@@n@@@@e@@@ , SeptembereighteenhundredfiftyfourCCOMEallyougallantBritishheartsthatlovetheredandblueAnd
@@i@@@@@@@@@@@@@@@@@@@@@@@@s@@@@@@@@ , drinkahealthtothosebraveladsthatmade
th@@@@@i@@@@@@@@@n@@@@@@e@@@@@@@ , theRussiansrueThenfilltheglassan
